"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","","","","327","","327","","","","",
"Angola","AGO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","","","","1010","","1010","","","","",
"Albania","ALB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","","","","1485","","1485","","","","",
"Andorra","AND","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","","","","78","","78","","","","",
"Argentina","ARG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","","","","591","","591","","","","",
"Armenia","ARM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562","","","","","562","","","","","562","","","","","562","","","","","562","","562","","","","",
"Samoa Americana","ASM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","","","","1030","","1030","","","","",
"Australia","AUS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","","","","534","","534","","","","",
"Austria","AUT","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","","","","1110","","1110","","","","",
"Azerbaiyán","AZE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","447","","","","","447","","","","","447","","","","","447","","","","","447","","447","","","","",
"Burundi","BDI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","","","","1274","","1274","","","","",
"Bélgica","BEL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","","","","847","","847","","","","",
"Benin","BEN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","","","","1039","","1039","","","","",
"Burkina Faso","BFA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","","","","748","","748","","","","",
"Bangladesh","BGD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","","","","2666","","2666","","","","",
"Bulgaria","BGR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","","","","608","","608","","","","",
"Bahrein","BHR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","","","","83","","83","","","","",
"Bahamas","BHS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","","","","1292","","1292","","","","",
"Bosnia y Herzegovina","BIH","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028","","","","","1028","","","","","1028","","","","","1028","","","","","1028","","1028","","","","",
"Belarús","BLR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","618","","","","","618","","","","","618","","","","","618","","","","","618","","618","","","","",
"Belice","BLZ","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","","","","1705","","1705","","","","",
"Bermudas","BMU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","","","","1146","","1146","","","","",
"Brasil","BRA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","","","","1761","","1761","","","","",
"Barbados","BRB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","","","","1422","","1422","","","","",
"Brunei Darussalam","BRN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","","","","2722","","2722","","","","",
"Bhután","BTN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","","","","2200","","2200","","","","",
"Botswana","BWA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","","","","416","","416","","","","",
"República Centroafricana","CAF","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","","","","1343","","1343","","","","",
"Canadá","CAN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","","","","537","","537","","","","",
"Europa Central y del Báltico","CEB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","","","","1537","","1537","","","","",
"Islas del Canal","CHI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","","","","1522","","1522","","","","",
"China","CHN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","","","","645","","645","","","","",
"Côte d'Ivoire","CIV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","","","","1348","","1348","","","","",
"Camerún","CMR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","","","","1604","","1604","","","","",
"Congo, República Democrática del","COD","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","","","","1543","","1543","","","","",
"Congo, República del","COG","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","","","","1646","","1646","","","","",
"Colombia","COL","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","","","","3240","","3240","","","","",
"Comoras","COM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","","","","900","","900","","","","",
"Cabo Verde","CPV","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","","","","228","","228","","","","",
"Costa Rica","CRI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","","","","2926","","2926","","","","",
"Estados pequeos del Caribe","CSS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","","","","1335","","1335","","","","",
"Curacao","CUW","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","","","","498","","498","","","","",
"República Checa","CZE","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","677","","","","","677","","","","","677","","","","","677","","677","","","","",
"Alemania","DEU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","","","","700","","700","","","","",
"Djibouti","DJI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","","","","220","","220","","","","",
"Dominica","DMA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","","","","2083","","2083","","","","",
"Dinamarca","DNK","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","","","","703","","703","","","","",
"República Dominicana","DOM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","","","","1410","","1410","","","","",
"Argelia","DZA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","","","","89","","89","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","","","","2274","","2274","","","","",
"Egipto, República Árabe de","EGY","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","","","","51","","51","","","","",
"Zona del Euro","EMU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","384","","","","","384","","","","","384","","","","","384","","384","","","","",
"España","ESP","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","","","","636","","636","","","","",
"Estonia","EST","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626","","","","","626","","","","","626","","","","","626","","","","","626","","626","","","","",
"Etiopía","ETH","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","848","","","","","848","","","","","848","","","","","848","","848","","","","",
"Unión Europea","EUU","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finlandia","FIN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","","","","536","","536","","","","",
"Fiji","FJI","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","","","","2592","","2592","","","","",
"Francia","FRA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","","","","867","","867","","","","",
"Islas Feroe","FRO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","758","","","","","758","","","","","758","","","","","758","","","","","758","","","","","","",
"Gabón","GAB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","","","","1831","","1831","","","","",
"Reino Unido","GBR","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","","","","1220","","1220","","","","",
"Georgia","GEO","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1026","","","","","1026","","","","","1026","","","","","1026","","","","","1026","","1026","","","","",
"Ghana","GHA","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","","","","1187","","1187","","","","",
"Gibraltar","GIB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","","","","1651","","1651","","","","",
"Gambia","GMB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","","","","836","","836","","","","",
"Guinea-Bissau","GNB","Promedio detallado de precipitaciones (mm anuales)","AG.LND.PRCP.MM","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","","","","1577","","1577","","","","",
